nm0178107	J. Gordon Cooper	1894
nm2526956	Sebastiano Riso	1983
nm1729077	Shannon Christian	1976
nm0377433	Astrid Henning-Jensen	1914
nm0675235	Nickolas Perry	1967
nm0322198	Michael Glawogger	1959
nm0001239	John Frankenheimer	1930
nm1203688	Margarit Nikolov	1945
nm2184404	Carlo H.E. Agostoni	1981
nm0524108	Craig Lucas	1951
nm1058656	Rolands Kalnins	1922
nm0001548	Rick Moranis	1953
nm1695278	Vicente Villanueva	1970
nm0024521	Jorge Ameer	1972
nm0419854	Jean-Claude Jean	1959
nm1167412	Aleksi Salmenperä	1973
nm1987276	Justin Nesbitt	1983
nm0536004	Daniele Maggioni	1949
nm1449722	Andrzej Marek Drazewski	1947
nm0000871	Randall Batinkoff	1968
nm0667887	Aleksandr Pavlovskiy	1947
nm0387761	Inmaculada Hoces	1960
nm0222157	Jean Devaivre	1912
nm0632479	Michael Ninn	1951
nm3368610	Dmitriy Tyurin	1976
nm0597369	Lutz Mommartz	1934
nm3492090	Vjekoslav Katusin	1983
nm0201897	K.S.R. Das	1936
nm0803524	John Sjogren	1966
nm0173824	Edmo Cominetti	1889
nm0607780	Gary Mortensen	1959
nm0358763	Raushan Hammond	1982
nm3679670	Carleton Ranney	1986
nm0152326	Christopher Chapman	1927
nm0827051	Jason Robert Stephens	1971
nm0268724	Antonello Fassari	1952
nm0539956	Marilú Mallet	1944
nm0653952	Kelly Overton	1978
nm0005815	Sven Nykvist	1922
nm0631000	Thomas Borch Nielsen	1963
nm3503468	Marc Pierschel	1978
nm0011582	Anton Adasinsky	1959
nm1922800	Marvin Williams	1974
nm0008332	Aktan Arym Kubat	1957
nm6914615	Adam Assad	1984
nm0650922	Mercedes Ortega	1970
nm0038245	Carlos Arévalo	1906
nm0451553	Khasan Khazhkasimov	1939
nm0267026	Katinka Faragó	1936
nm10152562	Marlon Beroit	1989
nm0603299	Stefano Mordini	1968
nm0058022	J.A. Barry	1884
nm0413590	Horace Jackson	1898
nm1005096	Esben Tønnesen	1976
nm6807016	Mbithi Masya	1985
nm2744951	Davide Melini	1979
nm0812773	Helena Solberg	1942
nm0308177	Oliver H.P. Garrett	1894
nm0951975	S. Craig Zahler	1973
nm7053285	Jared Campbell	1991
nm0298331	Rick Fuller	1969
nm0166018	Brian Clemens	1931
nm0189929	Pol Cruchten	1963
nm0705587	Ljubomir Radicevic	1927
nm2136278	Terry Linehan	1956
nm0582544	Svend Methling	1891
nm0586140	Ellie Yonova	1953
nm0147356	Felipe Cazals	1937
nm0465045	Kong Lung	1934
nm0039350	Kostas Asimakopoulos	1936
nm0351411	Ertem Göreç	1931
nm1038470	Michael Swanson	1972
nm0871596	Terri Treas	1957
nm0790395	Barry Shear	1923
nm0848376	Patrick Tam	1948
nm0743563	Justin Ross	1954
nm0830249	Mauritz Stiller	1883
nm0261706	Constantino Esteves	1914
nm1204732	Mario de Varona	1969
nm0338018	Joseph Green	1928
nm1315409	Hanno Olderdissen	1976
nm0825523	Josef Stein	1876
nm0802862	Douglas Sirk	1897
nm3324210	Quan Zhou	1987
nm0648900	Sergei Ovcharov	1955
nm0047193	Chris Bailey	1962
nm0347075	Laurice Guillen	1947
nm10216638	Orkun Özcan	2003
nm2537356	Greg Young	1972
nm0509537	Hans Liechti	1946
nm0574643	Kevin McTurk	1967
nm0863810	Theodor Timreck	1947
nm0642890	Stanley O'Toole	1939
nm0535361	Fritz E. Maeder	1936
nm0598395	Sylvain Monod	1960
nm0328718	Peter B. Good	1938
nm1076864	David Ilundain	1975
nm3835229	Joel Sotolongo	1972
nm8216156	Denis Pavlovic	1987
nm0300888	Laurent Gagliardi	1948
nm1088596	Ferdi Tayfur	1904
nm4979233	Hakan Kerim Karademir	1983
nm1836967	Dusty DePree	1973
nm0451134	Ali Khamraev	1937
nm1151007	Siddalingaiah	1936
nm1636742	Leena Yadav	1971
nm0687298	Dimitrij Plichta	1922
nm0640466	Pat O'Connor	1943
nm3976649	Devin Hume	1987
nm4789784	Oswaldo Díaz Medina	1980
nm1248340	Manijeh Hekmat	1962
nm0060283	Parsifal Bassi	1892
nm0093170	Flaminio Bollini	1924
nm0210228	Johan De Meester	1897
nm0553417	José Celso Martinez Corrêa	1937
nm1059171	Vicente Peñarrocha	1965
nm5662493	Doga Can Anafarta	1987
nm0239769	Lillian Ducey	1878
nm1558136	Tim Jackson	1965
nm4421076	Jonathan D. Bucari	1986
nm0244459	Pau Durà	1972
nm0378245	Taraji P. Henson	1970
nm0146637	Brice Cauvin	1966
nm0739987	Charles R. Rondeau	1917
nm4452025	Oscar Frederick Welsh	1992
nm0282994	Jean-Jacques Flori	1928
nm2054480	LP	1978
nm0122562	Amy Stechler	1955
nm1287782	Françoise Levie	1940
nm0793731	Shirô Shimomoto	1948
nm0221960	Gábor Dettre	1956
nm2895884	Maria Sadowska	1976
nm0318189	Oscar Paul Gilbert	1898
nm2583937	Dean Cavanagh	1966
nm0951456	Zabou Breitman	1959
nm0444290	Nurit Kedar	1959
nm0820696	Trevor St. John	1971
nm0576488	Prakash Mehra	1939
nm0110821	John C. Broderick	1942
nm1009444	Jennifer Heaton	1976
nm1748928	Alexandre Devarennes	1887
nm0715346	Carol Reed	1906
nm2446740	Tess Gerritsen	1953
nm0090109	Armando Bo	1914
nm0781241	Norman Sedawie	1928
nm1278753	Yuanyuan Cai	1942
nm1118351	Jalmari Helander	1976
nm0821033	Jonathan Stack	1957
nm0997742	Jean Pichonnier	1912
nm0571338	Brian McKenna	1945
nm0620450	Kazuto Nakazawa	1968
nm0529203	Amílcar Lyra	1944
nm2108685	Ezequiel Luka	1978
nm0670282	Larry Peerce	1930
nm1561185	Adrian Bol	1970
nm0620787	J.K. Nanda	1904
nm0344414	Daniel Gruener	1967
nm1217479	Alexander Obreshkov	1935
nm0653768	George Ovashvili	1963
nm3744901	Francesco Gagliardi	1974
nm0746008	Henry Roussel	1870
nm0680109	Will Tremper	1928
nm8459639	Ágnes Moldova	1947
nm5462851	Tyler Falbo	1992
nm1633681	Ana Laura Calderón	1979
nm0327950	Rogelio A. González	1920
nm1338111	Carlos Gil	1964
nm0944578	Xin Xin Xiong	1965
nm0076352	Paul Bernard	1929
nm1691239	Amin Matalqa	1976
nm0715274	Jerry Reed	1937
nm3176269	Jaideep Varma	1967
nm0001888	Robert Douglas	1909
nm6812436	Giray Altinok	1983
nm0894946	André Versini	1923
nm0702600	Peyman Ghassemkhani	1967
nm0696169	Brian Presley	1977
nm0948075	Ying Ning	1959
nm0230441	Bernhard Dörries	1927
nm0364619	Denny Harris	1930
nm0537550	Michael Mailer	1964
nm2160298	Benjamin Wilbanks	1977
nm0307497	Alex Garland	1970
nm3279999	Kristof Hoornaert	1980
nm2376740	Brandon Webster	1989
nm1009329	Dan Wedeking	1963
nm0882410	Igor Usov	1928
nm0229493	Amy Do	1980
nm0047094	Charles Bail	1935
nm2395887	Edoardo De Angelis	1978
nm4704504	Tunde Skovran	1982
nm1847729	Pablo Rho	1978
nm0384377	Jerome Hill	1905
nm0466467	Norbert Schultze	1911
nm5024636	Charlie Sporns	1988
nm0616114	S.P. Muthuraman	1935
nm0027733	Kjell-Åke Andersson	1949
